,LifeStyle
2243,Average
2244,Average
2245,Bad
2246,Bad
2247,Bad
2248,Bad
2249,Average
2250,Bad
2251,Bad
2252,Bad
2253,Bad
2254,Bad
2255,Bad
2256,Bad
2257,Bad
2258,Bad
2259,Average
2260,Bad
2261,Bad
2262,Bad
2263,Bad
2264,Bad
2265,Great
2266,Average
2267,Great
2268,Bad
2269,Bad
2270,Great
2271,Good
2272,Bad
2273,Bad
2274,Average
2275,Bad
2276,Average
2277,Bad
2278,Bad
2279,Average
2280,Bad
2281,Bad
2282,Bad
2283,Great
2284,Bad
2285,Good
2286,Bad
2287,Bad
2288,Average
2289,Bad
2290,Good
2291,Great
2292,Bad
2293,Bad
2294,Bad
2295,Bad
2296,Bad
2297,Bad
2298,Bad
2299,Bad
2300,Great
2301,Bad
2302,Bad
2303,Average
2304,Good
2305,Good
2306,Bad
2307,Average
2308,Bad
2309,Bad
2310,Bad
2311,Bad
2312,Great
2313,Bad
2314,Bad
2315,Bad
2316,Bad
2317,Bad
2318,Bad
2319,Good
2320,Bad
2321,Bad
2322,Bad
2323,Average
2324,Bad
2325,Average
2326,Bad
2327,Bad
2328,Bad
2329,Bad
2330,Bad
2331,Bad
2332,Bad
2333,Bad
2334,Bad
2335,Average
2336,Good
2337,Average
2338,Good
2339,Bad
2340,Average
2341,Average
2342,Good
2343,Good
2344,Bad
2345,Bad
2346,Bad
2347,Bad
2348,Bad
2349,Bad
2350,Average
2351,Great
2352,Bad
2353,Bad
2354,Bad
2355,Bad
2356,Average
2357,Good
2358,Bad
2359,Bad
2360,Bad
2361,Good
2362,Bad
2363,Bad
2364,Good
2365,Good
2366,Average
2367,Bad
2368,Good
2369,Bad
2370,Bad
2371,Good
2372,Bad
2373,Bad
2374,Bad
2375,Great
2376,Average
2377,Bad
2378,Bad
2379,Bad
2380,Bad
2381,Bad
2382,Bad
2383,Bad
2384,Bad
2385,Bad
2386,Average
2387,Bad
2388,Average
2389,Good
2390,Average
2391,Bad
2392,Bad
2393,Average
2394,Bad
2395,Bad
2396,Bad
2397,Bad
2398,Good
2399,Good
2400,Bad
2401,Bad
2402,Bad
2403,Good
2404,Bad
2405,Average
2406,Bad
2407,Bad
2408,Bad
2409,Bad
2410,Bad
2411,Bad
2412,Good
2413,Great
2414,Good
2415,Average
2416,Bad
2417,Bad
2418,Average
2419,Bad
2420,Bad
2421,Bad
2422,Bad
2423,Bad
2424,Average
2425,Great
2426,Bad
2427,Good
2428,Bad
2429,Bad
2430,Bad
2431,Bad
2432,Bad
2433,Average
2434,Bad
2435,Bad
2436,Bad
2437,Bad
2438,Bad
2439,Average
2440,Bad
2441,Average
2442,Average
2443,Good
2444,Good
2445,Bad
2446,Bad
2447,Good
2448,Good
2449,Bad
2450,Bad
2451,Bad
2452,Bad
2453,Bad
2454,Bad
2455,Great
2456,Bad
2457,Average
2458,Bad
2459,Bad
2460,Bad
2461,Average
2462,Bad
2463,Bad
2464,Bad
2465,Average
2466,Bad
2467,Good
2468,Bad
2469,Average
2470,Bad
2471,Bad
2472,Bad
2473,Good
2474,Bad
2475,Good
2476,Bad
2477,Bad
2478,Average
2479,Bad
2480,Bad
2481,Bad
2482,Bad
2483,Average
2484,Bad
2485,Bad
2486,Bad
2487,Bad
2488,Bad
2489,Bad
2490,Average
2491,Average
2492,Bad
2493,Bad
2494,Bad
2495,Bad
2496,Bad
2497,Average
2498,Bad
2499,Average
2500,Bad
2501,Average
2502,Bad
2503,Bad
2504,Average
2505,Bad
2506,Bad
2507,Average
2508,Bad
2509,Bad
2510,Bad
2511,Bad
2512,Good
2513,Bad
2514,Good
2515,Great
2516,Good
2517,Bad
2518,Bad
2519,Bad
2520,Bad
2521,Average
2522,Bad
2523,Good
2524,Bad
2525,Bad
2526,Bad
2527,Bad
2528,Bad
2529,Bad
2530,Bad
2531,Bad
2532,Bad
2533,Good
2534,Average
2535,Bad
2536,Bad
2537,Bad
2538,Bad
2539,Bad
2540,Average
2541,Bad
2542,Good
2543,Bad
2544,Average
2545,Average
2546,Bad
2547,Average
2548,Average
2549,Average
2550,Bad
2551,Bad
2552,Bad
2553,Bad
2554,Average
2555,Bad
2556,Bad
2557,Bad
2558,Bad
2559,Average
2560,Bad
2561,Bad
2562,Bad
2563,Good
2564,Bad
2565,Average
2566,Bad
2567,Bad
2568,Bad
2569,Bad
2570,Bad
2571,Bad
2572,Bad
2573,Bad
2574,Bad
2575,Bad
2576,Average
2577,Bad
2578,Bad
2579,Average
2580,Great
2581,Average
2582,Great
2583,Bad
2584,Bad
2585,Bad
2586,Great
2587,Bad
2588,Bad
2589,Average
2590,Average
2591,Bad
2592,Great
2593,Bad
2594,Bad
2595,Bad
2596,Bad
2597,Average
2598,Good
2599,Average
2600,Bad
2601,Bad
2602,Bad
2603,Bad
2604,Bad
2605,Bad
2606,Bad
2607,Bad
2608,Bad
2609,Bad
2610,Average
2611,Bad
2612,Bad
2613,Bad
2614,Bad
2615,Bad
2616,Bad
2617,Bad
2618,Bad
2619,Bad
2620,Bad
2621,Bad
2622,Bad
2623,Bad
2624,Average
2625,Bad
2626,Average
2627,Bad
2628,Bad
2629,Bad
2630,Bad
2631,Good
2632,Average
2633,Bad
2634,Average
2635,Bad
2636,Bad
2637,Bad
2638,Bad
2639,Bad
2640,Bad
2641,Great
2642,Bad
2643,Average
2644,Bad
2645,Bad
2646,Average
2647,Bad
2648,Bad
2649,Bad
2650,Bad
2651,Bad
2652,Average
2653,Bad
2654,Bad
2655,Average
2656,Bad
2657,Bad
2658,Great
2659,Bad
2660,Average
2661,Bad
2662,Bad
2663,Bad
2664,Bad
2665,Bad
2666,Bad
2667,Bad
2668,Bad
2669,Great
2670,Bad
2671,Good
2672,Bad
2673,Bad
2674,Bad
2675,Bad
2676,Bad
2677,Bad
2678,Bad
2679,Good
2680,Bad
2681,Bad
2682,Bad
2683,Bad
2684,Good
2685,Bad
2686,Bad
2687,Bad
2688,Good
2689,Bad
2690,Bad
2691,Average
2692,Average
2693,Good
2694,Average
2695,Bad
2696,Bad
2697,Good
2698,Bad
2699,Bad
2700,Bad
2701,Bad
2702,Bad
2703,Great
2704,Good
2705,Great
2706,Bad
2707,Bad
2708,Bad
2709,Great
2710,Bad
2711,Bad
2712,Bad
2713,Bad
2714,Average
2715,Bad
2716,Average
2717,Bad
2718,Good
2719,Bad
2720,Bad
2721,Average
2722,Average
2723,Bad
2724,Average
2725,Bad
2726,Bad
2727,Bad
2728,Bad
2729,Bad
2730,Bad
2731,Great
2732,Bad
2733,Bad
2734,Bad
2735,Average
2736,Bad
2737,Bad
2738,Bad
2739,Bad
2740,Bad
2741,Bad
2742,Bad
2743,Bad
2744,Bad
2745,Average
2746,Bad
2747,Bad
2748,Bad
2749,Bad
2750,Bad
2751,Great
2752,Good
2753,Bad
2754,Bad
2755,Bad
2756,Average
2757,Bad
2758,Bad
2759,Bad
2760,Good
2761,Bad
2762,Bad
2763,Bad
2764,Bad
2765,Bad
2766,Bad
2767,Good
2768,Bad
2769,Good
2770,Bad
2771,Average
2772,Bad
2773,Bad
2774,Bad
2775,Bad
2776,Bad
2777,Bad
2778,Bad
2779,Average
2780,Bad
2781,Bad
2782,Average
2783,Bad
2784,Good
2785,Bad
2786,Bad
2787,Bad
2788,Bad
2789,Bad
2790,Average
2791,Great
2792,Bad
2793,Bad
2794,Bad
2795,Average
2796,Bad
2797,Average
2798,Bad
2799,Bad
2800,Bad
2801,Bad
2802,Bad
2803,Bad
2804,Great
2805,Great
2806,Average
2807,Bad
2808,Bad
2809,Bad
2810,Bad
2811,Bad
2812,Bad
2813,Good
2814,Good
2815,Bad
2816,Bad
2817,Bad
2818,Bad
2819,Bad
2820,Good
2821,Bad
2822,Bad
2823,Bad
2824,Bad
2825,Bad
2826,Bad
2827,Bad
2828,Average
2829,Good
2830,Bad
2831,Bad
2832,Average
2833,Average
2834,Bad
2835,Bad
2836,Bad
2837,Bad
2838,Average
2839,Bad
2840,Great
2841,Bad
2842,Bad
2843,Average
2844,Bad
2845,Bad
2846,Average
2847,Bad
2848,Bad
2849,Bad
2850,Great
2851,Bad
2852,Average
2853,Bad
2854,Bad
2855,Bad
2856,Bad
2857,Bad
2858,Bad
2859,Bad
2860,Average
2861,Bad
2862,Bad
2863,Bad
2864,Bad
2865,Bad
2866,Bad
2867,Bad
2868,Bad
2869,Bad
2870,Bad
2871,Bad
2872,Bad
2873,Bad
2874,Bad
2875,Bad
2876,Bad
2877,Bad
2878,Bad
2879,Average
2880,Bad
2881,Bad
2882,Bad
2883,Good
2884,Good
2885,Bad
2886,Average
2887,Bad
2888,Bad
2889,Bad
2890,Bad
2891,Great
2892,Average
2893,Good
2894,Average
2895,Bad
2896,Average
2897,Average
2898,Bad
2899,Good
2900,Good
2901,Bad
2902,Bad
2903,Bad
2904,Average
2905,Great
2906,Good
2907,Bad
2908,Average
2909,Bad
2910,Average
2911,Average
2912,Bad
2913,Good
2914,Good
2915,Average
2916,Bad
2917,Bad
2918,Bad
2919,Bad
2920,Bad
2921,Great
2922,Bad
2923,Bad
2924,Good
2925,Bad
2926,Bad
2927,Bad
2928,Bad
2929,Bad
2930,Bad
2931,Bad
2932,Average
2933,Bad
2934,Average
2935,Average
2936,Average
2937,Bad
2938,Bad
2939,Good
2940,Bad
2941,Bad
2942,Bad
2943,Bad
2944,Bad
2945,Bad
2946,Bad
2947,Bad
2948,Bad
2949,Bad
2950,Good
2951,Average
2952,Good
2953,Bad
2954,Bad
2955,Bad
2956,Bad
2957,Bad
2958,Bad
2959,Average
2960,Great
2961,Bad
2962,Bad
2963,Bad
2964,Average
2965,Bad
2966,Bad
2967,Great
2968,Bad
2969,Bad
2970,Bad
2971,Bad
2972,Bad
2973,Bad
2974,Average
2975,Bad
2976,Good
2977,Good
2978,Good
2979,Bad
2980,Average
2981,Bad
2982,Bad
2983,Bad
2984,Average
2985,Great
2986,Bad
2987,Bad
2988,Bad
2989,Average
2990,Average
2991,Bad
2992,Bad
2993,Good
2994,Bad
2995,Good
2996,Bad
2997,Bad
2998,Bad
2999,Bad
3000,Bad
3001,Bad
3002,Bad
3003,Good
3004,Bad
3005,Bad
3006,Bad
3007,Bad
3008,Bad
3009,Good
3010,Bad
3011,Bad
3012,Bad
3013,Bad
3014,Bad
3015,Average
3016,Good
3017,Bad
3018,Bad
3019,Bad
3020,Bad
3021,Bad
3022,Average
3023,Bad
3024,Average
3025,Bad
3026,Bad
3027,Average
3028,Bad
3029,Average
3030,Bad
3031,Average
3032,Bad
3033,Bad
3034,Bad
3035,Average
3036,Good
3037,Average
3038,Bad
3039,Good
3040,Bad
3041,Bad
3042,Bad
3043,Bad
3044,Average
3045,Bad
3046,Bad
3047,Bad
3048,Bad
3049,Bad
3050,Bad
3051,Bad
3052,Great
3053,Bad
3054,Bad
3055,Bad
3056,Bad
3057,Bad
3058,Bad
3059,Bad
3060,Great
3061,Bad
3062,Bad
3063,Bad
3064,Bad
3065,Bad
3066,Bad
3067,Bad
3068,Average
3069,Bad
3070,Average
3071,Bad
3072,Bad
3073,Average
3074,Bad
3075,Bad
3076,Bad
3077,Bad
3078,Bad
3079,Bad
3080,Bad
3081,Bad
3082,Average
3083,Bad
3084,Bad
3085,Average
3086,Bad
3087,Bad
3088,Bad
3089,Bad
3090,Bad
3091,Average
3092,Average
3093,Average
3094,Average
3095,Bad
3096,Bad
3097,Bad
3098,Bad
3099,Average
3100,Great
3101,Average
3102,Bad
3103,Bad
3104,Bad
3105,Bad
3106,Bad
3107,Great
3108,Bad
3109,Bad
3110,Bad
3111,Bad
3112,Bad
3113,Bad
3114,Bad
3115,Average
3116,Bad
3117,Good
3118,Bad
3119,Average
3120,Average
3121,Good
3122,Bad
3123,Bad
3124,Bad
3125,Bad
3126,Bad
3127,Bad
3128,Bad
3129,Bad
3130,Average
3131,Bad
3132,Average
3133,Bad
3134,Bad
3135,Bad
3136,Good
3137,Bad
3138,Bad
3139,Bad
3140,Bad
3141,Average
3142,Average
3143,Bad
3144,Average
3145,Good
3146,Average
3147,Bad
3148,Bad
3149,Bad
3150,Bad
3151,Bad
3152,Bad
3153,Average
3154,Great
3155,Bad
3156,Bad
3157,Bad
3158,Bad
3159,Bad
3160,Bad
3161,Bad
3162,Good
3163,Bad
3164,Bad
3165,Great
3166,Bad
3167,Bad
3168,Average
3169,Bad
3170,Bad
3171,Bad
3172,Bad
3173,Bad
3174,Bad
3175,Bad
3176,Bad
3177,Bad
3178,Bad
3179,Bad
3180,Bad
3181,Bad
3182,Good
3183,Average
3184,Bad
3185,Good
3186,Bad
3187,Bad
3188,Good
3189,Bad
3190,Good
3191,Bad
3192,Bad
3193,Good
3194,Bad
3195,Bad
3196,Bad
3197,Bad
3198,Bad
3199,Good
3200,Bad
3201,Bad
3202,Bad
3203,Bad
3204,Bad
3205,Bad
3206,Bad
3207,Bad
3208,Bad
3209,Bad
3210,Bad
3211,Bad
3212,Bad
3213,Bad
3214,Average
3215,Average
3216,Bad
3217,Bad
3218,Good
3219,Bad
3220,Bad
3221,Bad
3222,Bad
3223,Bad
3224,Bad
3225,Bad
3226,Good
3227,Average
3228,Bad
3229,Bad
3230,Good
3231,Bad
3232,Average
3233,Bad
3234,Bad
3235,Bad
3236,Bad
3237,Bad
3238,Bad
3239,Bad
3240,Average
3241,Bad
3242,Average
3243,Bad
3244,Average
3245,Bad
3246,Average
3247,Bad
3248,Bad
3249,Bad
3250,Bad
3251,Bad
3252,Average
3253,Bad
3254,Good
3255,Bad
3256,Great
3257,Bad
3258,Bad
3259,Bad
3260,Average
3261,Average
3262,Bad
3263,Bad
3264,Bad
3265,Average
3266,Bad
3267,Bad
3268,Bad
3269,Good
3270,Bad
3271,Bad
3272,Bad
3273,Average
3274,Bad
3275,Bad
3276,Bad
3277,Bad
3278,Bad
3279,Bad
3280,Bad
3281,Bad
3282,Bad
3283,Bad
3284,Bad
3285,Bad
3286,Bad
3287,Bad
3288,Average
3289,Bad
3290,Bad
3291,Bad
3292,Bad
3293,Average
3294,Bad
3295,Bad
3296,Average
3297,Average
3298,Average
3299,Average
3300,Bad
3301,Good
3302,Bad
3303,Bad
3304,Bad
3305,Good
3306,Average
3307,Bad
3308,Good
3309,Bad
3310,Average
3311,Bad
3312,Bad
3313,Bad
3314,Average
3315,Bad
3316,Average
3317,Bad
3318,Bad
3319,Good
3320,Good
3321,Bad
3322,Good
3323,Bad
3324,Bad
3325,Bad
3326,Bad
3327,Average
3328,Average
3329,Good
3330,Bad
3331,Average
3332,Bad
3333,Average
3334,Good
3335,Bad
3336,Average
3337,Bad
3338,Average
3339,Bad
3340,Bad
3341,Average
3342,Bad
3343,Bad
3344,Bad
3345,Average
3346,Average
3347,Bad
3348,Bad
3349,Bad
3350,Bad
3351,Bad
3352,Bad
3353,Bad
3354,Great
3355,Bad
3356,Good
3357,Bad
3358,Bad
3359,Average
3360,Bad
3361,Bad
3362,Bad
3363,Average
3364,Bad
3365,Bad
3366,Good
3367,Average
3368,Bad
3369,Bad
3370,Bad
3371,Bad
3372,Bad
3373,Bad
3374,Bad
3375,Bad
3376,Bad
3377,Great
3378,Bad
3379,Bad
3380,Great
3381,Bad
3382,Bad
3383,Average
3384,Average
3385,Bad
3386,Bad
3387,Bad
3388,Great
3389,Bad
3390,Bad
3391,Bad
3392,Bad
3393,Bad
3394,Bad
3395,Bad
3396,Bad
3397,Bad
3398,Bad
3399,Average
3400,Bad
3401,Bad
3402,Bad
3403,Bad
3404,Bad
3405,Bad
3406,Average
3407,Average
3408,Bad
3409,Bad
3410,Average
3411,Average
3412,Bad
3413,Bad
3414,Bad
3415,Average
3416,Bad
3417,Bad
3418,Bad
3419,Bad
3420,Bad
3421,Bad
3422,Good
3423,Bad
3424,Bad
3425,Average
3426,Bad
3427,Bad
3428,Good
3429,Bad
3430,Average
3431,Bad
3432,Bad
3433,Great
3434,Bad
3435,Good
3436,Bad
3437,Good
3438,Average
3439,Bad
3440,Bad
3441,Average
3442,Bad
3443,Bad
3444,Average
3445,Bad
3446,Bad
3447,Bad
3448,Bad
3449,Bad
3450,Bad
3451,Bad
3452,Bad
3453,Bad
3454,Bad
3455,Bad
3456,Bad
3457,Bad
3458,Good
3459,Bad
3460,Good
3461,Bad
3462,Bad
3463,Bad
3464,Bad
3465,Bad
3466,Bad
3467,Average
3468,Bad
3469,Average
3470,Bad
3471,Bad
3472,Bad
3473,Bad
3474,Bad
3475,Bad
3476,Bad
3477,Bad
3478,Average
3479,Average
3480,Bad
3481,Bad
3482,Bad
3483,Bad
3484,Bad
3485,Bad
3486,Good
3487,Great
3488,Bad
3489,Bad
3490,Bad
3491,Bad
3492,Bad
3493,Good
3494,Average
3495,Bad
3496,Great
3497,Bad
3498,Great
3499,Bad
3500,Bad
3501,Bad
3502,Bad
3503,Bad
3504,Bad
3505,Bad
3506,Bad
3507,Bad
3508,Bad
3509,Bad
3510,Bad
3511,Bad
3512,Average
3513,Good
3514,Bad
3515,Good
3516,Bad
3517,Bad
3518,Bad
3519,Bad
3520,Bad
3521,Good
3522,Bad
3523,Average
3524,Bad
3525,Bad
3526,Bad
3527,Bad
3528,Good
3529,Bad
3530,Great
3531,Good
3532,Bad
3533,Bad
3534,Bad
3535,Average
3536,Bad
3537,Bad
3538,Bad
3539,Bad
3540,Average
3541,Bad
3542,Good
3543,Bad
3544,Bad
3545,Good
3546,Average
3547,Bad
3548,Bad
3549,Bad
3550,Great
3551,Bad
3552,Bad
3553,Bad
3554,Average
3555,Bad
3556,Average
3557,Average
3558,Bad
3559,Bad
3560,Great
3561,Good
3562,Bad
3563,Bad
3564,Bad
3565,Great
3566,Average
3567,Bad
3568,Bad
3569,Bad
3570,Great
3571,Average
3572,Bad
3573,Good
3574,Good
3575,Bad
3576,Bad
3577,Bad
3578,Average
3579,Good
3580,Bad
3581,Bad
3582,Bad
3583,Bad
3584,Good
3585,Good
3586,Bad
3587,Bad
3588,Bad
3589,Good
3590,Average
3591,Bad
3592,Bad
3593,Bad
3594,Average
3595,Great
3596,Bad
3597,Good
3598,Average
3599,Bad
3600,Bad
3601,Good
3602,Bad
3603,Bad
3604,Bad
3605,Good
3606,Bad
3607,Bad
3608,Bad
3609,Average
3610,Average
3611,Bad
3612,Bad
3613,Bad
3614,Average
3615,Bad
3616,Bad
3617,Bad
3618,Bad
3619,Average
3620,Bad
3621,Bad
3622,Good
3623,Average
3624,Good
3625,Average
3626,Average
3627,Bad
3628,Bad
3629,Bad
3630,Bad
3631,Bad
3632,Bad
3633,Bad
3634,Average
3635,Average
3636,Bad
3637,Good
3638,Average
3639,Bad
3640,Bad
3641,Bad
3642,Bad
3643,Good
3644,Bad
3645,Average
3646,Great
3647,Bad
3648,Good
3649,Bad
3650,Bad
3651,Good
3652,Good
3653,Average
3654,Bad
3655,Bad
3656,Bad
3657,Bad
3658,Bad
3659,Bad
3660,Bad
3661,Bad
3662,Bad
3663,Bad
3664,Bad
3665,Bad
3666,Bad
3667,Bad
3668,Great
3669,Bad
3670,Bad
3671,Bad
3672,Bad
3673,Bad
3674,Good
3675,Bad
3676,Bad
3677,Bad
3678,Average
3679,Average
3680,Bad
3681,Good
3682,Good
3683,Bad
3684,Bad
3685,Average
3686,Bad
3687,Bad
3688,Bad
3689,Bad
3690,Bad
3691,Great
3692,Bad
3693,Bad
3694,Bad
3695,Bad
3696,Bad
3697,Good
3698,Bad
3699,Bad
3700,Average
3701,Average
3702,Bad
3703,Bad
3704,Bad
3705,Average
3706,Bad
3707,Great
3708,Good
3709,Bad
3710,Bad
3711,Bad
3712,Bad
3713,Bad
3714,Bad
3715,Bad
3716,Bad
3717,Bad
3718,Bad
3719,Bad
3720,Bad
3721,Bad
3722,Bad
3723,Bad
3724,Bad
3725,Bad
3726,Bad
3727,Average
3728,Average
3729,Good
3730,Bad
3731,Average
3732,Bad
3733,Bad
3734,Bad
3735,Bad
3736,Bad
3737,Bad
3738,Bad
3739,Bad
3740,Bad
3741,Bad
3742,Bad
3743,Good
3744,Bad
3745,Bad
3746,Bad
3747,Bad
3748,Bad
3749,Bad
3750,Bad
3751,Bad
3752,Average
3753,Bad
3754,Bad
3755,Good
3756,Bad
3757,Average
3758,Bad
3759,Bad
3760,Bad
3761,Good
3762,Bad
3763,Bad
3764,Bad
3765,Bad
3766,Average
3767,Bad
3768,Bad
3769,Average
3770,Bad
3771,Bad
3772,Bad
3773,Bad
3774,Bad
3775,Bad
3776,Bad
3777,Good
3778,Bad
3779,Bad
3780,Average
3781,Average
3782,Bad
3783,Good
3784,Bad
3785,Average
3786,Bad
3787,Great
3788,Bad
3789,Good
3790,Average
3791,Bad
3792,Bad
3793,Bad
3794,Bad
3795,Good
3796,Bad
3797,Bad
3798,Bad
3799,Bad
3800,Bad
3801,Bad
3802,Average
3803,Average
3804,Bad
3805,Bad
3806,Bad
3807,Average
3808,Bad
3809,Bad
3810,Great
3811,Bad
3812,Bad
3813,Bad
3814,Bad
3815,Bad
3816,Good
3817,Bad
3818,Bad
3819,Average
3820,Bad
3821,Bad
3822,Bad
3823,Average
3824,Good
3825,Bad
3826,Bad
3827,Bad
3828,Bad
3829,Average
3830,Great
3831,Bad
3832,Bad
3833,Bad
3834,Average
3835,Bad
3836,Great
3837,Bad
3838,Good
3839,Average
3840,Bad
3841,Bad
3842,Bad
3843,Bad
3844,Great
3845,Bad
3846,Bad
3847,Bad
3848,Bad
3849,Bad
3850,Bad
3851,Bad
3852,Average
3853,Bad
3854,Good
3855,Average
3856,Bad
3857,Great
3858,Bad
3859,Bad
3860,Bad
3861,Bad
3862,Bad
3863,Bad
3864,Bad
3865,Bad
3866,Average
3867,Average
3868,Bad
3869,Bad
3870,Average
3871,Average
3872,Bad
3873,Bad
3874,Bad
3875,Bad
3876,Bad
3877,Bad
3878,Bad
3879,Bad
3880,Great
3881,Average
3882,Bad
3883,Bad
3884,Bad
3885,Bad
3886,Bad
3887,Bad
3888,Great
3889,Bad
3890,Bad
3891,Average
3892,Good
3893,Good
3894,Average
3895,Good
3896,Average
3897,Average
3898,Bad
3899,Average
3900,Good
3901,Bad
3902,Bad
3903,Good
3904,Average
3905,Average
3906,Bad
3907,Bad
3908,Bad
3909,Bad
3910,Bad
3911,Average
3912,Bad
3913,Average
3914,Bad
3915,Bad
3916,Bad
3917,Bad
3918,Good
3919,Bad
3920,Bad
3921,Bad
3922,Average
3923,Good
3924,Great
3925,Bad
3926,Bad
3927,Average
3928,Bad
3929,Bad
3930,Bad
3931,Bad
3932,Bad
3933,Bad
3934,Bad
3935,Good
3936,Good
3937,Good
3938,Bad
3939,Bad
3940,Bad
3941,Average
3942,Bad
3943,Good
3944,Bad
3945,Average
3946,Bad
3947,Bad
3948,Bad
3949,Bad
3950,Average
3951,Average
3952,Bad
3953,Bad
3954,Bad
3955,Bad
3956,Bad
3957,Average
3958,Average
3959,Bad
3960,Average
3961,Bad
3962,Average
3963,Good
3964,Bad
3965,Average
3966,Bad
3967,Great
3968,Bad
3969,Bad
3970,Bad
3971,Bad
3972,Average
3973,Good
3974,Average
3975,Bad
3976,Average
3977,Average
3978,Bad
3979,Bad
3980,Good
3981,Bad
3982,Bad
3983,Bad
3984,Great
3985,Bad
3986,Great
3987,Bad
3988,Bad
3989,Bad
3990,Bad
3991,Average
3992,Bad
3993,Bad
3994,Bad
3995,Bad
3996,Bad
3997,Bad
3998,Bad
3999,Bad
4000,Bad
4001,Bad
4002,Bad
4003,Average
4004,Bad
4005,Bad
4006,Bad
4007,Bad
4008,Great
4009,Bad
4010,Bad
4011,Bad
4012,Average
4013,Bad
4014,Bad
4015,Bad
4016,Bad
4017,Bad
4018,Average
4019,Bad
4020,Bad
4021,Bad
4022,Great
4023,Bad
4024,Bad
4025,Bad
4026,Bad
4027,Bad
4028,Bad
4029,Average
4030,Average
4031,Bad
4032,Bad
4033,Bad
4034,Great
4035,Bad
4036,Bad
4037,Bad
4038,Bad
4039,Bad
4040,Bad
4041,Bad
4042,Bad
4043,Average
4044,Bad
4045,Average
4046,Average
4047,Great
4048,Bad
4049,Bad
4050,Bad
4051,Bad
4052,Bad
4053,Average
4054,Good
4055,Bad
4056,Bad
4057,Bad
4058,Bad
4059,Great
4060,Average
4061,Bad
4062,Bad
4063,Bad
4064,Average
4065,Average
4066,Bad
4067,Average
4068,Bad
4069,Bad
4070,Bad
4071,Bad
4072,Average
4073,Bad
4074,Bad
4075,Bad
4076,Average
4077,Bad
4078,Bad
4079,Bad
4080,Average
4081,Bad
4082,Average
4083,Bad
4084,Bad
4085,Bad
4086,Average
4087,Bad
4088,Bad
4089,Average
4090,Bad
4091,Average
4092,Bad
4093,Bad
4094,Bad
4095,Bad
4096,Bad
4097,Bad
4098,Average
4099,Great
4100,Bad
4101,Great
4102,Bad
4103,Bad
4104,Bad
4105,Bad
4106,Bad
4107,Bad
4108,Bad
4109,Bad
4110,Good
4111,Good
4112,Good
4113,Bad
4114,Bad
4115,Bad
4116,Good
4117,Bad
4118,Bad
4119,Bad
4120,Bad
4121,Bad
4122,Bad
4123,Average
4124,Great
4125,Good
4126,Bad
4127,Bad
4128,Bad
4129,Good
4130,Great
4131,Bad
4132,Good
4133,Bad
4134,Bad
4135,Bad
4136,Bad
4137,Bad
4138,Bad
4139,Good
4140,Average
4141,Bad
4142,Bad
4143,Bad
4144,Bad
4145,Bad
4146,Bad
4147,Bad
4148,Bad
4149,Good
4150,Bad
4151,Bad
4152,Bad
4153,Bad
4154,Bad
4155,Bad
4156,Good
4157,Bad
4158,Bad
4159,Bad
4160,Bad
4161,Bad
4162,Good
4163,Bad
4164,Bad
4165,Bad
4166,Bad
4167,Average
4168,Bad
4169,Good
4170,Bad
4171,Bad
4172,Bad
4173,Bad
4174,Bad
4175,Good
4176,Bad
4177,Bad
4178,Good
4179,Bad
4180,Bad
4181,Bad
4182,Bad
4183,Bad
4184,Bad
4185,Good
4186,Good
4187,Bad
4188,Average
4189,Great
4190,Bad
4191,Average
4192,Good
4193,Average
4194,Bad
4195,Bad
4196,Bad
4197,Bad
4198,Bad
4199,Bad
4200,Average
4201,Bad
4202,Good
4203,Good
4204,Bad
4205,Bad
4206,Bad
4207,Bad
4208,Bad
4209,Bad
4210,Bad
4211,Bad
4212,Bad
4213,Bad
4214,Bad
4215,Bad
4216,Bad
4217,Bad
4218,Bad
4219,Bad
4220,Bad
4221,Bad
4222,Bad
4223,Good
4224,Average
4225,Bad
4226,Bad
4227,Bad
4228,Bad
4229,Bad
4230,Bad
4231,Bad
4232,Bad
4233,Average
4234,Bad
4235,Bad
4236,Bad
4237,Bad
4238,Bad
4239,Good
4240,Bad
4241,Good
4242,Average
4243,Bad
4244,Bad
4245,Bad
4246,Bad
4247,Good
4248,Bad
4249,Bad
4250,Bad
4251,Great
4252,Bad
4253,Bad
4254,Average
4255,Bad
4256,Great
4257,Bad
4258,Bad
4259,Bad
4260,Average
4261,Bad
4262,Bad
4263,Average
4264,Bad
4265,Bad
4266,Average
4267,Bad
4268,Good
4269,Bad
4270,Bad
4271,Bad
4272,Bad
4273,Bad
4274,Bad
4275,Bad
4276,Bad
4277,Bad
4278,Bad
4279,Bad
4280,Bad
4281,Bad
4282,Bad
4283,Bad
4284,Bad
4285,Bad
4286,Average
4287,Bad
4288,Bad
4289,Bad
4290,Bad
4291,Bad
4292,Average
4293,Bad
4294,Good
4295,Bad
4296,Bad
4297,Bad
4298,Bad
4299,Average
4300,Good
4301,Good
4302,Average
4303,Bad
4304,Bad
4305,Average
4306,Bad
4307,Bad
4308,Average
4309,Bad
4310,Bad
4311,Average
4312,Bad
4313,Bad
4314,Bad
4315,Bad
4316,Average
4317,Bad
4318,Bad
4319,Bad
4320,Great
4321,Bad
4322,Bad
4323,Bad
4324,Good
4325,Bad
4326,Bad
4327,Great
4328,Good
4329,Bad
